dataset_name,dataset_config,hf_split,dataset_url,split_url,is_code_swe_terminal,is_agent,is_rl,is_pretraining,reasoning,filtered_for_correctness,includes_verification,teacher_model,aux_models,agent_harness,num_rows,num_rows_source,parent_num_rows,already_included,downloaded,local_path,selection_reason,overlap_group,dedupe_policy
allenai/dolma3_dolmino_pool,cranecode,cranecode,https://huggingface.co/datasets/allenai/dolma3_dolmino_pool,https://huggingface.co/datasets/allenai/dolma3_dolmino_pool?config=cranecode&split=train,true,false,false,true,true,,,not_specified,[],,,not_public_per_split,2520000000,false,true,/wbl-fast/usrs/ee/code-swe-data/data/code-pretrain/allenai__dolma3_dolmino_pool,Canonical Dolmino CraneCode source component; selected instead of sampled Dolmino mixes.,dolma3_dolmino_code,Do not also download Dolmino 100B/10B cranecode mix rows.
allenai/dolma3_dolmino_pool,code_meta_reasoning,code_meta_reasoning,https://huggingface.co/datasets/allenai/dolma3_dolmino_pool,https://huggingface.co/datasets/allenai/dolma3_dolmino_pool?config=code_meta_reasoning&split=train,true,false,false,true,true,,,not_specified,[],,,not_public_per_split,2520000000,false,true,/wbl-fast/usrs/ee/code-swe-data/data/code-pretrain/allenai__dolma3_dolmino_pool,Canonical Dolmino Code Meta-Reasoning source component; selected instead of sampled Dolmino mixes.,dolma3_dolmino_code,Do not also download Dolmino 100B/10B code_meta_reasoning mix rows.
nvidia/Nemotron-CC-Code-v1,data,data,https://huggingface.co/datasets/nvidia/Nemotron-CC-Code-v1,https://huggingface.co/datasets/nvidia/Nemotron-CC-Code-v1?config=data&split=train,true,false,false,true,false,,,not_specified,[],,216347017,parent_single_split,216347017,false,false,,"Common Crawl code corpus, distinct from GitHub-source Nemotron Pretraining Code.",nemotron_cc_code,Deduplicate by source URL/WARC metadata if combining with other Common Crawl code corpora.
nvidia/Nemotron-Pretraining-Code-v1,Nemotron-Code-Metadata,Nemotron-Code-Metadata,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v1,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v1?config=Nemotron-Code-Metadata&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,935545665,false,false,,Original GitHub-source code metadata release.,nemotron_pretraining_code_metadata,Pair with v2 metadata; v2 is documented as adding files missing from v1.
nvidia/Nemotron-Pretraining-Code-v2,Nemotron-Code-Metadata,Nemotron-Code-Metadata,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Nemotron-Code-Metadata&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Updated GitHub-source code metadata release with files missing from v1.,nemotron_pretraining_code_metadata,Pair with v1 metadata; deduplicate exact file identities by repository commit and relative path.
nvidia/Nemotron-Pretraining-Code-v2,Synthetic-Question-Answering,Synthetic-Question-Answering,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Synthetic-Question-Answering&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Latest Nemotron synthetic code QA split; selected over v1 Synthetic-Code to avoid re-included v1 synthetic content.,nemotron_pretraining_code_synthetic,Do not also download nvidia/Nemotron-Pretraining-Code-v1 Synthetic-Code.
nvidia/Nemotron-Pretraining-Code-v2,Synthetic-Student-Teacher,Synthetic-Student-Teacher,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Synthetic-Student-Teacher&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Latest Nemotron synthetic student-teacher code split grounded in source code snippets.,nemotron_pretraining_code_synthetic,Do not also download nvidia/Nemotron-Pretraining-Code-v1 Synthetic-Code.
nvidia/Nemotron-Pretraining-Code-v2,Synthetic-Code-Review,Synthetic-Code-Review,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Synthetic-Code-Review&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Latest Nemotron synthetic code-review split grounded in source code files.,nemotron_pretraining_code_synthetic,Do not also download nvidia/Nemotron-Pretraining-Code-v1 Synthetic-Code.
nvidia/Nemotron-Pretraining-Code-v2,Synthetic-Rewriting,Synthetic-Rewriting,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Synthetic-Rewriting&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Latest Nemotron synthetic rewriting split grounded in v1/v2 raw source code.,nemotron_pretraining_code_synthetic,Do not also download nvidia/Nemotron-Pretraining-Code-v1 Synthetic-Code.
nvidia/Nemotron-Pretraining-Code-v2,Synthetic-Transpilation,Synthetic-Transpilation,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2?config=Synthetic-Transpilation&split=train,true,false,false,true,false,,,not_specified,[],,,not_public_per_split,835834532,false,false,,Latest Nemotron synthetic transpilation split grounded in source code.,nemotron_pretraining_code_synthetic,Do not also download nvidia/Nemotron-Pretraining-Code-v1 Synthetic-Code.
