dataset_name,hf_split,is_agent,status,sample_rows,avg_estimated_tokens,teacher,teacher_sample_rows,teacher_row_pct,teacher_token_pct,teacher_estimated_tokens,reasoning_token_pct,estimated_reasoning_tokens,files_sampled,sample_notes
nvidia/Nemotron-SFT-SWE-v2,agentless,false,sampled,120,1675738666,DeepSeek-R1-0528,120,1.000000,1.000000,1675738666,1.000000,1675738666,data/agentless.jsonl,Sampled 120 rows from 1 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-SFT-SWE-v2,openhands_swe,true,sampled,120,1531415466,Qwen3-Coder-480B-A35B-Instruct,120,1.000000,1.000000,1531415466,0.000000,0,data/swe.jsonl,Sampled 120 rows from 1 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,chat,false,sampled,120,11165727456,-,120,1.000000,1.000000,11165727456,0.000000,0,chat/chat_part_1.jsonl;chat/chat_part_2.jsonl;chat/chat_part_3.jsonl;chat/chat_part_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,conversational_agent,true,sampled,120,7820448950,-,120,1.000000,1.000000,7820448950,0.000000,0,conversational_agent/conversational_agent.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,instruction_following,false,sampled,120,24490998380,-,120,1.000000,1.000000,24490998380,0.000000,0,instruction_following/instruction_following.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,math,false,sampled,120,2894808662,DeepSeek-V3.2-Speciale,77,0.641667,0.813533,2355023098,1.000000,2894808662,math/math_notool.jsonl;math/math_proof.jsonl;math/math_tool.jsonl,Sampled 120 rows from 3 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,math,false,sampled,120,2894808662,DeepSeek-V3.2,37,0.308333,0.141576,409836519,1.000000,2894808662,math/math_notool.jsonl;math/math_proof.jsonl;math/math_tool.jsonl,Sampled 120 rows from 3 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,math,false,sampled,120,2894808662,GPT-OSS-120B,6,0.050000,0.044890,129949045,1.000000,2894808662,math/math_notool.jsonl;math/math_proof.jsonl;math/math_tool.jsonl,Sampled 120 rows from 3 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,safety,false,sampled,120,105715254,-,120,1.000000,1.000000,105715254,0.000000,0,safety/safety.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,science,false,sampled,120,9469987634,GPT-OSS-120B,120,1.000000,1.000000,9469987634,1.000000,9469987634,science/science.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,swe,true,sampled,120,781564244,Qwen3-Coder-480B-A35B-Instruct,60,0.500000,0.717733,560954436,0.282267,220609808,swe/swe_agentic.jsonl;swe/swe_agentless.jsonl,Sampled 120 rows from 2 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,swe,true,sampled,120,781564244,DeepSeek-V3.2,42,0.350000,0.258055,201686932,0.282267,220609808,swe/swe_agentic.jsonl;swe/swe_agentless.jsonl,Sampled 120 rows from 2 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,swe,true,sampled,120,781564244,DeepSeek-R1-0528,18,0.150000,0.024212,18922877,0.282267,220609808,swe/swe_agentic.jsonl;swe/swe_agentless.jsonl,Sampled 120 rows from 2 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-2-SFT-Data,terminal_agent,true,sampled,120,2476252462,DeepSeek-V3.2,120,1.000000,1.000000,2476252462,1.000000,2476252462,terminal_agent/terminal_agent.jsonl,Sampled 120 rows from 1 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,code,false,sampled,112,1383009336,DeepSeek-R1-0528,112,1.000000,1.000000,1383009336,1.000000,1383009336,code/code_1.jsonl;code/code_10.jsonl;code/code_11.jsonl;code/code_12.jsonl;code/code_13.jsonl;code/code_14.jsonl;code/code_2.jsonl;code/code_3.jsonl;code/code_4.jsonl;code/code_5.jsonl;code/code_6.jsonl;code/code_7.jsonl;code/code_8.jsonl;code/code_9.jsonl,Sampled 112 rows from 14 local split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,DeepSeek-R1-0528,45,0.375000,0.590528,5872031169,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,DeepSeek-R1,23,0.191667,0.176396,1754026787,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,DeepSeek-V3,14,0.116667,0.076038,756103143,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,DeepSeek-V3-0324,21,0.175000,0.070838,704393307,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,N/A,14,0.116667,0.068506,681205040,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,general,false,sampled,120,9943692142,DeepSeek-R1-0324,3,0.025000,0.017693,175932696,0.766924,7626057956,general/general_1.jsonl;general/general_2.jsonl;general/general_3.jsonl;general/general_4.jsonl,Sampled 120 rows from 4 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,instruction-following,false,sampled,120,1798996892,DeepSeek-R1-0528,95,0.791667,0.922937,1660360784,0.922937,1660360784,instruction-following.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,instruction-following,false,sampled,120,1798996892,N/A,25,0.208333,0.077063,138636108,0.922937,1660360784,instruction-following.jsonl,Sampled 120 rows from 1 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
nvidia/Nemotron-Cascade-SFT-Stage-2,math,false,sampled,120,1619961780,DeepSeek-R1-0528,120,1.000000,1.000000,1619961780,1.000000,1619961780,math/math_1.jsonl;math/math_2.jsonl;math/math_3.jsonl;math/math_4.jsonl;math/math_5.jsonl;math/math_6.jsonl;math/math_7.jsonl;math/math_8.jsonl,Sampled 120 rows from 8 remote split-specific JSONL file(s); token shares use mean Qwen/Nemotron token lengths.
