readable_name,dataset_name,dataset_config,hf_split,dataset_url,split_url,downloaded,local_path,num_rows
SWE-Zero 12M Trajectories,AlienKevin/SWE-ZERO-12M-trajectories,default,train,https://huggingface.co/datasets/AlienKevin/SWE-ZERO-12M-trajectories,https://huggingface.co/datasets/AlienKevin/SWE-ZERO-12M-trajectories?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/AlienKevin__SWE-ZERO-12M-trajectories,12290800
OpenThoughts Agent SFT,Sellopale/OpenThoughts-Agent-v1-SFT,default,train,https://huggingface.co/datasets/Sellopale/OpenThoughts-Agent-v1-SFT,https://huggingface.co/datasets/Sellopale/OpenThoughts-Agent-v1-SFT?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/Sellopale__OpenThoughts-Agent-v1-SFT,15209
DeepSeek Pro Agent,TeichAI/DeepSeek-v4-Pro-Agent,default,train,https://huggingface.co/datasets/TeichAI/DeepSeek-v4-Pro-Agent,https://huggingface.co/datasets/TeichAI/DeepSeek-v4-Pro-Agent?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/TeichAI__DeepSeek-v4-Pro-Agent,4006
Sera 4.6 Lite,allenai/Sera-4.6-Lite-T2,default,train,https://huggingface.co/datasets/allenai/Sera-4.6-Lite-T2,https://huggingface.co/datasets/allenai/Sera-4.6-Lite-T2?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.6-Lite-T2,21330
Sera 4.6 Lite,allenai/SERA-4.6-Lite-Best-Subset,default,train,https://huggingface.co/datasets/allenai/SERA-4.6-Lite-Best-Subset,https://huggingface.co/datasets/allenai/SERA-4.6-Lite-Best-Subset?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__SERA-4.6-Lite-Best-Subset,29487
Sera 4.6 Lite,allenai/Sera-4.6-Lite-T1,default,train,https://huggingface.co/datasets/allenai/Sera-4.6-Lite-T1,https://huggingface.co/datasets/allenai/Sera-4.6-Lite-T1?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.6-Lite-T1,23412
Sera 4.5A all domains,allenai/Sera-4.5A-Lite-T1,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Lite-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Lite-T1?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Lite-T1,16560
Sera 4.5A all domains,allenai/Sera-4.5A-Lite-T2,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Lite-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Lite-T2?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Lite-T2,21754
Sera 4.5A all domains,allenai/Sera-4.5A-Full-T1,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Full-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Full-T1?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Full-T1,16621
Sera 4.5A all domains,allenai/Sera-4.5A-Full-T2,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Full-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Full-T2?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Full-T2,21288
Sera 4.5A all domains,allenai/Sera-4.5A-Django-T1,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T1?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Django-T1,17112
Sera 4.5A all domains,allenai/Sera-4.5A-Django-T2,default,train,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T2?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-agentic-sft/allenai__Sera-4.5A-Django-T2,21561
