dataset_name,dataset_url,is_code_swe_terminal,is_agent_sft,is_agent_rl,reasoning,filtered_for_correctness,includes_verification,teacher_model,aux_models,agent_harness,num_rows,already_included
nvidia/Nemotron-SFT-Math-v3,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Math-v3,false,false,false,"[true,true]",,,"[""DeepSeek-V3.2-Speciale"",""DeepSeek-V3.2""]",[],,3638783,true
nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,false,false,false,true,,,Qwen2.5-14B-Instruct,"[{""model"":""Qwen3-4B-Thinking-2507"",""use"":""STEM post-editing""}]",,3065255,true
nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,false,false,false,"[true, true, true, true, true, true]",,,"[""Kimi-K2-Thinking"", ""GLM-4.6"", ""Qwen3-235B-A22B-Thinking-2507"", ""GPT-OSS-120b"", ""Kimi-K2-Instruct-0905"", ""Qwen3-235B-A22B-Instruct-2507""]",[],,1998568,true
nvidia/Nemotron-Math-Proofs-v1,https://huggingface.co/datasets/nvidia/Nemotron-Math-Proofs-v1,true,false,false,true,,,Goedel-Prover-V2-32B,"[{""model"":""gpt-oss-120b"",""use"":""Lean 4 theorem formalization""}]",,1376666,true
nvidia/Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,true,false,false,"[true, true]",,,"[""DeepSeek-R1-0528"", ""QwQ""]",[],,844935,true
nvidia/Nemotron-SFT-OpenCode-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-OpenCode-v1,true,true,false,false,false,false,Qwen3-Coder-480B-A35B-Instruct,"[{""model"":""GPT-OSS-120B"",""use"":""question and agent skill generation""},{""model"":""Qwen3-Coder-480B-A35B-Instruct"",""use"":""simulated user feedback for question tool rollouts""}]",OpenCode CLI,460254,true
nvidia/Nemotron-Instruction-Following-Chat-v1,https://huggingface.co/datasets/nvidia/Nemotron-Instruction-Following-Chat-v1,false,false,false,"[true, true, true]",,,"[""GPT-OSS-120B"", ""Qwen3-235B-A22B-Thinking-2507"", ""Qwen3-235B-A22B-Instruct-2507""]",[],,430978,true
nvidia/Nemotron-Terminal-Corpus,https://huggingface.co/datasets/nvidia/Nemotron-Terminal-Corpus,true,true,false,true,false,false,DeepSeek-V3.2,[],Terminus-2,366154,true
nvidia/Nemotron-SFT-Agentic-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Agentic-v2,false,true,false,"[true, true]",false,true,"[""DeepSeek-V3.2"", ""GLM-4.6""]","[{""model"":""DeepSeek-V3.2"",""use"":""judging""},{""model"":""GLM-4.6"",""use"":""judging""}]",,991900,true
nvidia/Nemotron-Science-v1,https://huggingface.co/datasets/nvidia/Nemotron-Science-v1,false,false,false,"[true,true]",,,"[""GPT-OSS-120B"",""not_specified""]",[],,226334,true
nvidia/Nemotron-SFT-SWE-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-SWE-v2,true,true,false,"[false, true]",false,false,"[""Qwen3-Coder-480B-A35B-Instruct"", ""DeepSeek-R1-0528""]",[],OpenHands,256254,true
nvidia/Nemotron-SFT-Safety-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Safety-v1,false,false,false,true,,,not_specified,[],,45145,true
allenai/Dolci-Think-SFT-7B,https://huggingface.co/datasets/allenai/Dolci-Think-SFT-7B,false,false,false,"[true,true,true]",,,"[""QwQ-32B"",""DeepSeek-R1"",""DeepSeek-R1-0528""]","[{""model"":""GPT-4.1"",""use"":""synthetic test case generation for Dolci Think Python correctness filtering""}]",,2268178,true
Sellopale/OpenThoughts-Agent-v1-SFT,https://huggingface.co/datasets/Sellopale/OpenThoughts-Agent-v1-SFT,true,true,false,true,false,false,QuantTrio/GLM-4.6-AWQ,"[{""model"":""GPT-5 Codex"",""use"":""optional difficulty filtering""}]",Terminus-2,15209,false
lambda/hermes-agent-reasoning-traces,https://huggingface.co/datasets/lambda/hermes-agent-reasoning-traces,true,true,false,"[true, true]",false,false,"[""moonshotai/Kimi-K2.5"", ""zai-org/GLM-5.1-FP8""]",[],Hermes Agent,14701,false
TeichAI/DeepSeek-v4-Pro-Agent,https://huggingface.co/datasets/TeichAI/DeepSeek-v4-Pro-Agent,true,true,false,true,false,false,deepseek/deepseek-v4-pro,[],pi,4006,false
open-thoughts/AgentTrove,https://huggingface.co/datasets/open-thoughts/AgentTrove,true,true,false,"[true, true, true, true, true, true, true, true, true, true, true, true, true, true]",false,true,"[""GLM-4.6"", ""GLM-4.7"", ""GLM-5.0"", ""GPT 5.1 Nano"", ""GPT-4o"", ""GPT-5"", ""GPT-5-mini"", ""GPT-5-nano"", ""GPT-OSS-120B"", ""Gemini-2.5-Flash"", ""Kimi K2.0 Thinking"", ""Kimi-2.5"", ""MiniMax M2.0"", ""Qwen3""]","[{""model"":""GPT-4o-mini"",""use"":""judging""}]",Terminus-2,1696847,false
nebius/SWE-agent-trajectories,https://huggingface.co/datasets/nebius/SWE-agent-trajectories,true,true,false,"[true, true, true]",false,true,"[""swe-agent-llama-8b"", ""swe-agent-llama-70b"", ""swe-agent-llama-405b""]",[],SWE-agent,80036,false
AlienKevin/SWE-ZERO-12M-trajectories,https://huggingface.co/datasets/AlienKevin/SWE-ZERO-12M-trajectories,true,true,false,true,false,false,ricdomolm/mini-coder-1.7b,[],mini-swe-agent v1,12290800,false
